...1,gu,price,rating,nrat,sh,title,housing_type,cap,bed,room,bath,res_rate,cert,clean,freeparking,laundry,camera,review_list,npho,url,locations,min_distance,subway
55,마포구,40435,5,4,0,ALL STAY-H: 호텔처럼 아늑한 곳(공용화장실/2박 이상),2,1,1,1,4,100,1,0,0,1,0,"['저렴하게 이용가능한 도심근처숙소입니다!', '너무 진정하시고 덕분에 좋은 시간을 보낼 수 있었습니다! 정말 감사합니다.', '가격이저렴하고 방이 깨끗합니다. 호스트님과의 연락도 빠르고 정확하게 소통이 잘됩니다. 중간에 물건교체를 부탁드렸는데 지체없이 바로 진행해주셔서 감사히 사용했습니다. 일부 다른방이용자들의 코골이소리, 배려없는 발소리 등이 신경쓰이지않는건 아니지만 제 목적지와 매우가깝다는 점에 굉장한 매력으로 작용합니다.\n더 보기', '명동 중심가에 위치한 매우 멋진 깨끗한 객실!']",6,https://www.airbnb.co.kr/rooms/744612330092037370?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669366375_1EXgCvlYe5RelSmL,"(37.56334, 126.97844)",0.248403844,시청역
95,마포구,40435,5,4,0,ALL STAY-H: 호텔처럼 아늑한 곳(공용화장실/2박 이상),2,1,1,1,4,100,1,0,0,1,0,"['저렴하게 이용가능한 도심근처숙소입니다!', '너무 진정하시고 덕분에 좋은 시간을 보낼 수 있었습니다! 정말 감사합니다.', '가격이저렴하고 방이 깨끗합니다. 호스트님과의 연락도 빠르고 정확하게 소통이 잘됩니다. 중간에 물건교체를 부탁드렸는데 지체없이 바로 진행해주셔서 감사히 사용했습니다. 일부 다른방이용자들의 코골이소리, 배려없는 발소리 등이 신경쓰이지않는건 아니지만 제 목적지와 매우가깝다는 점에 굉장한 매력으로 작용합니다.\n더 보기', '명동 중심가에 위치한 매우 멋진 깨끗한 객실!']",6,https://www.airbnb.co.kr/rooms/744612330092037370?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669367242_b3ezd1MZbCYjmNsX,"(37.56334, 126.97844)",0.248403844,시청역
135,마포구,40435,5,4,0,ALL STAY-H: 호텔처럼 아늑한 곳(공용화장실/2박 이상),2,1,1,1,4,100,1,0,0,1,0,"['저렴하게 이용가능한 도심근처숙소입니다!', '너무 진정하시고 덕분에 좋은 시간을 보낼 수 있었습니다! 정말 감사합니다.', '가격이저렴하고 방이 깨끗합니다. 호스트님과의 연락도 빠르고 정확하게 소통이 잘됩니다. 중간에 물건교체를 부탁드렸는데 지체없이 바로 진행해주셔서 감사히 사용했습니다. 일부 다른방이용자들의 코골이소리, 배려없는 발소리 등이 신경쓰이지않는건 아니지만 제 목적지와 매우가깝다는 점에 굉장한 매력으로 작용합니다.\n더 보기', '명동 중심가에 위치한 매우 멋진 깨끗한 객실!']",6,https://www.airbnb.co.kr/rooms/744612330092037370?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669368111_rKEM%2FR97GLXpBT8O,"(37.56334, 126.97844)",0.248403844,시청역
175,마포구,40435,5,4,0,ALL STAY-H: 호텔처럼 아늑한 곳(공용화장실/2박 이상),2,1,1,1,4,100,1,0,0,1,0,"['저렴하게 이용가능한 도심근처숙소입니다!', '너무 진정하시고 덕분에 좋은 시간을 보낼 수 있었습니다! 정말 감사합니다.', '가격이저렴하고 방이 깨끗합니다. 호스트님과의 연락도 빠르고 정확하게 소통이 잘됩니다. 중간에 물건교체를 부탁드렸는데 지체없이 바로 진행해주셔서 감사히 사용했습니다. 일부 다른방이용자들의 코골이소리, 배려없는 발소리 등이 신경쓰이지않는건 아니지만 제 목적지와 매우가깝다는 점에 굉장한 매력으로 작용합니다.\n더 보기', '명동 중심가에 위치한 매우 멋진 깨끗한 객실!']",6,https://www.airbnb.co.kr/rooms/744612330092037370?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669368987_qHIxRryMof5vBDHs,"(37.56334, 126.97844)",0.248403844,시청역
215,마포구,40435,5,4,0,ALL STAY-H: 호텔처럼 아늑한 곳(공용화장실/2박 이상),2,1,1,1,4,100,1,0,0,1,0,"['저렴하게 이용가능한 도심근처숙소입니다!', '너무 진정하시고 덕분에 좋은 시간을 보낼 수 있었습니다! 정말 감사합니다.', '가격이저렴하고 방이 깨끗합니다. 호스트님과의 연락도 빠르고 정확하게 소통이 잘됩니다. 중간에 물건교체를 부탁드렸는데 지체없이 바로 진행해주셔서 감사히 사용했습니다. 일부 다른방이용자들의 코골이소리, 배려없는 발소리 등이 신경쓰이지않는건 아니지만 제 목적지와 매우가깝다는 점에 굉장한 매력으로 작용합니다.\n더 보기', '명동 중심가에 위치한 매우 멋진 깨끗한 객실!']",6,https://www.airbnb.co.kr/rooms/744612330092037370?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669369856_yh%2Fr3blxvOiUdXpa,"(37.56334, 126.97844)",0.248403844,시청역
30,서대문구,40435,5,4,0,ALL STAY-H: 호텔처럼 아늑한 곳(공용화장실/2박 이상),2,1,1,1,4,100,1,0,0,1,0,"['저렴하게 이용가능한 도심근처숙소입니다!', '너무 진정하시고 덕분에 좋은 시간을 보낼 수 있었습니다! 정말 감사합니다.', '가격이저렴하고 방이 깨끗합니다. 호스트님과의 연락도 빠르고 정확하게 소통이 잘됩니다. 중간에 물건교체를 부탁드렸는데 지체없이 바로 진행해주셔서 감사히 사용했습니다. 일부 다른방이용자들의 코골이소리, 배려없는 발소리 등이 신경쓰이지않는건 아니지만 제 목적지와 매우가깝다는 점에 굉장한 매력으로 작용합니다.\n더 보기', '명동 중심가에 위치한 매우 멋진 깨끗한 객실!']",6,https://www.airbnb.co.kr/rooms/744612330092037370?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669290777_uNyjuZuhchWaK3%2Bf,"(37.56334, 126.97844)",0.248403844,시청역
47,서대문구,40435,5,4,0,ALL STAY-H: 호텔처럼 아늑한 곳(공용화장실/2박 이상),2,1,1,1,4,100,1,0,0,1,0,"['저렴하게 이용가능한 도심근처숙소입니다!', '너무 진정하시고 덕분에 좋은 시간을 보낼 수 있었습니다! 정말 감사합니다.', '가격이저렴하고 방이 깨끗합니다. 호스트님과의 연락도 빠르고 정확하게 소통이 잘됩니다. 중간에 물건교체를 부탁드렸는데 지체없이 바로 진행해주셔서 감사히 사용했습니다. 일부 다른방이용자들의 코골이소리, 배려없는 발소리 등이 신경쓰이지않는건 아니지만 제 목적지와 매우가깝다는 점에 굉장한 매력으로 작용합니다.\n더 보기', '명동 중심가에 위치한 매우 멋진 깨끗한 객실!']",6,https://www.airbnb.co.kr/rooms/744612330092037370?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669291266_FcV6aSC8XSwFsXNl,"(37.56334, 126.97844)",0.248403844,시청역
87,서대문구,40435,5,4,0,ALL STAY-H: 호텔처럼 아늑한 곳(공용화장실/2박 이상),2,1,1,1,4,100,1,0,0,1,0,"['저렴하게 이용가능한 도심근처숙소입니다!', '너무 진정하시고 덕분에 좋은 시간을 보낼 수 있었습니다! 정말 감사합니다.', '가격이저렴하고 방이 깨끗합니다. 호스트님과의 연락도 빠르고 정확하게 소통이 잘됩니다. 중간에 물건교체를 부탁드렸는데 지체없이 바로 진행해주셔서 감사히 사용했습니다. 일부 다른방이용자들의 코골이소리, 배려없는 발소리 등이 신경쓰이지않는건 아니지만 제 목적지와 매우가깝다는 점에 굉장한 매력으로 작용합니다.\n더 보기', '명동 중심가에 위치한 매우 멋진 깨끗한 객실!']",6,https://www.airbnb.co.kr/rooms/744612330092037370?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669292261_a4qXFvem3UKEUYbo,"(37.56334, 126.97844)",0.248403844,시청역
39,용산구,40435,5,4,0,ALL STAY-H: 호텔처럼 아늑한 곳(공용화장실/2박 이상),2,1,1,1,4,100,1,0,0,1,0,"['저렴하게 이용가능한 도심근처숙소입니다!', '너무 진정하시고 덕분에 좋은 시간을 보낼 수 있었습니다! 정말 감사합니다.', '가격이저렴하고 방이 깨끗합니다. 호스트님과의 연락도 빠르고 정확하게 소통이 잘됩니다. 중간에 물건교체를 부탁드렸는데 지체없이 바로 진행해주셔서 감사히 사용했습니다. 일부 다른방이용자들의 코골이소리, 배려없는 발소리 등이 신경쓰이지않는건 아니지만 제 목적지와 매우가깝다는 점에 굉장한 매력으로 작용합니다.\n더 보기', '명동 중심가에 위치한 매우 멋진 깨끗한 객실!']",6,https://www.airbnb.co.kr/rooms/744612330092037370?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669329480_lVBnkmIYuoePi2nW,"(37.56334, 126.97844)",0.248403844,시청역
39,중구,46212,4.5,14,0,"[여성전용] Hanyang univ, 왕십리역과 가까운 1인실",2,1,1,1,1,98,1,,0,1,1,"['숙소 우풍이 심해서 너무 추웠습니다. 난방은 전혀 되지 않았고 지급된 이불도 굉장히 얇아서 외출복+코트 입은채로 잠들어야 했습니다. 그리고 위치는 대학가 부근이라 접근성이 좋았지만 그만큼 이른새벽까지 소음에 취약했습니다. 오토바이소리, 보행자 대화소리 및 취객들의 소란스런 소리가 고스란히 전달되어 뜬눈으로 지새다 시피 했네요. 다시는 가고싶지 않은 숙소 입니다.', '제가 303호에 숙박했는데. 구조도 그렇고 사진과 달라서 당황했던 기억이 있습니다. 이 호실 주실 때는 미리 예약자에게 안내가 필요하단 생각이 듭니다. 가격이 저렴해서 잠만 잘 용도로 괜찮을 듯합니다. 참고로 난방이 안되니 한겨울에는 참고하세요', '이틀동안 묵었는데 잠잘때 예민해서 걱정했는데 귀마게하고 안대끼고 자니 너무 잘 잤어요! 위치가 좋아서 찾기도 쉬웠고 깔끔해서 좋았어요 드라이기 없다고 했는데 드라이기도 다 있었고 샴푸 린스 바디워시도 다 있었어요!!', '좋았어요! 좋은 향이 나서 너무 마음에 들었습니다', '일단 왕십리역이랑 가까워서 너무 좋았어요 근처에 식당이랑 편의점도 많아요! 그리고 숙소도 청결하고 가성대비 만족스러웠습니다❤️!', '위치 한양대 앞 대학가 초입부분에 있어서 편의점, 분식집, 카페, 술집 등등 먹거리가 가까이 있어서 좋습니다. 왕십리역까지 3-5분안에 도착 할 수 있어서 큰 캐리어 짐이 있었지만 정말 편했습니다. (3층까지 올라가는 건 쪼큼 힘들었습니다\U0001f979)  주변상황 왕십리역 안에 다이소, 이마트, 올리브영, 미용실, 영화관, 서점 등등 각종 시설이 있어서 편했습니다. 그리고 숙소 주변에 먹을거 천지라 먹거리 걱정은 안한 것 같네요. 단점은 건물2층엔 술집이 있어서 저녁에음식냄새랑 소음이 많이 나서 잠들기까지 조금 힘들더라구요\U0001f979 대학가라 확실히 저녁에 살아나는 곳이었습니다.  숙소 체크인은 메시지로 안내 해주셔서 호스트분을 만날 일은 없습니다! 신발장 있고 열쇠도 있어서 도난우려는 없었습니다. 실내화도 들어있었어요! 외창문 없는 내창형 방이었고, 들어가자마자 디퓨저향이 너무 좋았고, 정말 깔끔하게 관리하신 것 같습니다. 조명이 너무 제스타일이었어요. 포근함이 느껴지는,, ㅎㅎ 방 컨디션은 만족스럽습니당! 다른 여러방에는 대학생분들이 지내시는 것 같았어용 한층에 방이 20개? 정도 있는 것 같아요.  평소 잠귀가 엄청 어두운데도 방음이 너무 안되서 이틀은 잘 못잤는데 익숙해지니까 또 괜찮더라구요. 고시원이라 헤어드라이기, 알람 소리 어떻게 하나 걱정했는데 그냥 생활하면 됩니다. 학교다닐때 기숙사 사는 느낌으로 그냥 사시면 됩니다 ㅎㅎ 옆방 이웃 잘만나는 것도 운빨인 듯 싶네요. 저는 옆방 사람이 캐리어를 수시로 열었다 닫았다 벽에 쿵쿵 부딪혀서 좀 그랬어요 ㅎ  화장실은 변기칸, 변기 세면 샤워기 칸, 세면대 샤워기칸 이렇게 3칸 있는데 많은 사람들이 쓰기엔 칸 수가 적지않나 했는데 막상 살아보니까 또 그렇게 붐빌 일은 전혀 없었습니다.  세탁기는 3층에 있고 건조기는 4층에 올라가시면 있습니다. 부엌이 4층에 있는데 솔직히 뭔가를 해먹을만한 곳은 아니어서 그냥 사먹는 걸 추천합니다.  청결 유지 하시려는 게 보여요!! 평일 오전엔 외출을 해서 몰랐는데 주말에 있어보니까 매일 오전에 청소하시는 것 같아요. 복도, 화장실, 쓰레기버리는 곳 등등 청결합니다. 이 근처 며칠정도 가볍게 묵으신다면 괜찮은 것 같아요. 제가 다시 이 근처에 올 일이 있다면 우디스테이 다시 찾을 것 같아요! 더 보기', '가성비좋아요 잘 묵고갑니다']",13,https://www.airbnb.co.kr/rooms/648904395657743301?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669275135_uf4VD2GTsIJsuRv8,"(37.55892, 127.04167)",0.396331173,한양대역
